iter	Passed	Remaining
0	60	60196
1	60	30236
2	61	20296
3	61	15285
4	61	12281
5	62	10277
6	62	8847
7	62	7773
8	63	6941
9	63	6280
10	63	5735
11	64	5281
12	64	4899
13	64	4572
14	65	4282
15	65	4030
16	65	3809
17	66	3613
18	66	3437
19	66	3280
20	67	3134
21	67	3005
22	67	2885
23	68	2776
24	68	2674
25	68	2580
26	69	2493
27	69	2411
28	69	2339
29	70	2268
30	70	2201
31	70	2139
32	71	2080
33	71	2026
34	71	1974
35	71	1925
36	72	1879
37	72	1836
38	72	1794
39	73	1758
40	73	1720
41	73	1684
42	74	1650
43	74	1618
44	74	1588
45	75	1560
46	75	1533
47	75	1505
48	76	1479
49	76	1454
50	76	1429
51	77	1405
52	77	1382
53	77	1361
54	77	1340
55	78	1319
56	78	1299
57	78	1280
58	79	1262
59	79	1245
60	79	1229
61	80	1212
62	80	1196
63	80	1180
64	80	1164
65	81	1151
66	81	1137
67	81	1122
68	82	1108
69	82	1095
70	82	1082
71	83	1070
72	83	1059
73	83	1047
74	83	1035
75	84	1024
76	84	1013
77	84	1003
78	85	992
79	85	981
80	85	971
81	85	961
82	86	950
83	86	941
84	86	931
85	86	922
86	87	914
87	87	905
88	87	897
89	87	889
90	88	881
91	88	874
92	88	866
93	89	859
94	89	852
95	89	845
96	90	838
97	90	831
98	90	825
99	90	818
100	91	811
101	91	805
102	91	799
103	92	793
104	92	787
105	92	780
106	92	774
107	93	769
108	93	763
109	93	757
110	93	752
111	94	746
112	94	741
113	94	736
114	95	731
115	95	726
116	95	720
117	95	716
118	96	711
119	96	706
120	96	701
121	96	696
122	97	692
123	97	688
124	97	685
125	98	681
126	98	676
127	98	672
128	98	668
129	99	663
130	99	659
131	99	656
132	100	652
133	100	649
134	100	645
135	100	641
136	101	638
137	101	634
138	101	630
139	102	627
140	102	624
141	102	619
142	102	616
143	103	612
144	103	609
145	103	606
146	103	602
147	104	600
148	104	596
149	104	594
150	105	591
151	105	589
152	105	586
153	106	583
154	106	580
155	106	578
156	107	577
157	107	575
158	108	572
159	108	570
160	108	566
161	109	563
162	109	561
163	109	558
164	109	555
165	110	553
166	110	550
167	110	548
168	110	545
169	111	542
170	111	540
171	111	537
172	111	535
173	112	532
174	112	530
175	112	528
176	113	525
177	113	523
178	113	520
179	113	518
180	114	516
181	114	514
182	114	512
183	115	510
184	115	508
185	115	506
186	116	504
187	116	502
188	116	500
189	116	498
190	117	496
191	117	494
192	117	492
193	118	490
194	118	488
195	118	486
196	118	484
197	119	482
198	119	480
199	119	479
200	120	477
201	120	476
202	120	474
203	121	473
204	121	471
205	121	469
206	122	468
207	122	468
208	123	466
209	124	467
210	124	465
211	124	464
212	125	463
213	125	461
214	125	460
215	126	458
216	126	456
217	126	455
218	127	453
219	127	451
220	127	450
221	128	448
222	128	446
223	128	445
224	128	443
225	129	442
226	129	441
227	129	439
228	130	438
229	130	436
230	130	435
231	130	433
232	131	432
233	131	430
234	131	428
235	132	427
236	132	425
237	132	424
238	132	423
239	133	421
240	133	420
241	133	419
242	134	417
243	134	416
244	134	415
245	135	414
246	135	413
247	135	412
248	136	411
249	136	409
250	136	408
251	137	407
252	137	405
253	137	404
254	138	403
255	138	402
256	138	401
257	139	400
258	139	399
259	140	399
260	140	397
261	140	396
262	141	395
263	141	394
264	141	392
265	141	391
266	142	390
267	142	389
268	142	388
269	143	387
270	143	385
271	143	384
272	144	383
273	144	382
274	144	381
275	145	380
276	145	379
277	145	378
278	146	377
279	146	376
280	146	375
281	146	374
282	147	373
283	147	372
284	147	370
285	148	370
286	148	369
287	148	367
